opportunity_id,business,location,business_type,what_is_happening,stage,why_this_may_matter,why_now,verified_contact_route,evidence,last_updated,cleaning_tier,freshness
601a2fc1-c764-4b7d-a9e6-2b115760a40d,Wonder,"125 South Broadway, Salem, NH",restaurant,"Wonder activity at 125 South Broadway, Salem",PRE_OPENING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",Buildout or pre-opening work may create a vendor-selection window.,https://support.wonder.com,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 15:19:28.314850,CLEANING_A,HISTORICAL
df121c32-9b14-43c8-8cfe-6dd8c3a21d89,RPM Fuels,"137 Route 101, Bedford, NH",restaurant,"Net Lease Realty, Inc activity at 137 Route 101, Bedford",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,+16034722763,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 16:10:35.686789,CLEANING_B,UPDATED
efc1a877-b0a3-4b31-b89e-3321ce736221,Revo Casino,"1279 South Willow Street, Manchester, NH",entertainment,"Granite State Poker Alliance, LLC commercial planning activity at 1279 South Willow Street, Manchester",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,+16039359947,An official Planning Board filing identifies a commercial project and exact physical address; operating status and vendor timing require review.,2026-08-19 16:10:35.706539,CLEANING_B,UPDATED
59b02d59-a13d-479e-bbce-0fe72c9c2874,Quirk Commercial Trucks,"2060 Brown Avenue, Manchester, NH",automotive,"Raymond Spillane, LLC commercial planning activity at 2060 Brown Avenue, Manchester",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,+16032634937,An official Planning Board filing identifies a commercial project and exact physical address; operating status and vendor timing require review.,2026-08-19 16:13:32.529328,CLEANING_B,UPDATED
6f4a11d0-5f05-4315-899b-df1fa8e522cc,Loretta's Last Call / Game On,"11 Mall Road, Salem, NH",restaurant,"Salem NIM, LLC activity at 11 Mall Road, Salem",LOCATION_CONFIRMED,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",Buildout or pre-opening work may create a vendor-selection window.,https://lorettaslastcall.com/contact,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 17:47:42.711201,CLEANING_B,HISTORICAL
d2cf1c13-18cd-4e45-9ad1-0ea47d766a6d,Bluebird Self Storage,"9 Northeastern Boulevard, Salem, NH",warehouse/logistics,"Bluebird Salem, LLC activity at 9 Northeastern Boulevard, Salem",LOCATION_CONFIRMED,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",Buildout or pre-opening work may create a vendor-selection window.,https://bluebirdstorage.com,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 15:19:28.299517,CLEANING_B,FRESH
4313eb2d-d944-43c5-afa8-a42d48b264ab,Aranco Oil Company,"1265 South Willow Street, Manchester, NH",restaurant,"Aranosian Oil Company, Inc commercial planning activity at 1265 South Willow Street, Manchester",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,+16032247500,An official Planning Board filing identifies a commercial project and exact physical address; operating status and vendor timing require review.,2026-08-19 15:19:28.171836,CLEANING_B,HISTORICAL
9ad4b7e5-ca42-4752-b90b-e255a370c6f9,FedEx,"218 Griffin Rd, Portsmouth, NH",warehouse/logistics,"Griffin Road Realty LLC activity at 218 Griffin Rd, Portsmouth",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,https://fedex.com/en-us/customer-support.html,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 16:49:28.404814,CLEANING_B,UPDATED
8ae5ddce-722f-425d-af5d-ece91e09d187,The Goddard School,"142 Main Street, Salem, NH",childcare,"Wellco Learning, LLC activity at 142 Main Street, Salem",PLANNING,"Likely commercial-cleaning opportunity based on facility type, project stage, and verified business identity; no service need is asserted.",The operator and location are known; monitor the early project timing.,https://goddardschool.com/contact,A traceable public source identifies current commercial activity at an exact location; operating identity and sales timing require review.,2026-08-19 17:43:48.436612,CLEANING_B,HISTORICAL
