business,legal_entity,operator_status,city,address,industry,stage,opportunity_score,vendor_readiness_score,vendor_readiness_band,independent_signal_count,contactability_status,official_website,business_phone,business_email,contact_page,why_now,relevant_services,source_links,last_updated
Aranco Oil Company,Aranosian Oil Company Inc,KNOWN,Manchester,1265 South Willow Street,restaurant,PLANNING,69.0,88.9,HIGH,2,CONTACTABLE,,+16032247500,,,"Planning evidence is early, but tenant identity or project timing may change.",commercial_cleaning;commercial_insurance;internet,https://safer.fmcsa.dot.gov/query.asp?query_param=USDOT&query_string=86218&query_type=queryCarrierSnapshot&searchtype=ANY;https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/PlanningBoard/Agendas2/2026-07-16_PB_AGENDA_REV_7.14.26.PDF;https://www.manchesternh.gov/Portals/2/Departments/pcd/BoardsCommissions/ZBA/Agendas/2026-04-09_ZBA_AGENDA.PDF,2026-08-19 16:10:35.703078
Wonder,HDR Holdings LLC,KNOWN,Salem,125 South Broadway,restaurant,PRE_OPENING,59.5,90.7,HIGH,2,CONTACTABLE,https://wonder.com,,,https://support.wonder.com,"The business is approaching opening, so the remaining sales window is short.",commercial_cleaning;commercial_insurance;internet,https://about.wonder.com/news/details/2026/Wonder-Expands-Across-Massachusetts-and-New-Hampshire-with-New-Locations-and-Strong-Demand-/default.aspx;https://support.wonder.com/hc/en-us/sections/13226271016212-Get-To-Know-Us;https://wonder.com/food-delivery-locations;https://www.salemnh.gov/AgendaCenter/ViewFile/Agenda/_07282026-1762?packet=true,2026-08-19 16:10:35.725349
RPM Fuels,RPM Fuels LLC,KNOWN,Bedford,137 Route 101,restaurant,PLANNING,54.0,88.3,HIGH,2,CONTACTABLE,https://rpmfuels101.com,+16034722763,,,"Planning evidence is early, but tenant identity or project timing may change.",commercial_cleaning;commercial_insurance;internet,https://rpmfuels101.com/location;https://www.bedfordnh.org/AgendaCenter/ViewFile/Agenda/_04202026-2936,2026-08-19 16:10:35.696826
